"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"DAC5578SPWR","Texas Instruments","296-41234-1-ND","","","Cut Tape (CT)","Active","1","6.13000","$6.13","4607","20 Weeks","IC DAC 8BIT I2C OCTAL 16TSSOP","RoHS Compliant","Lead free","REACH Unaffected"
"LM2937IMP-3.3/NOPB","Texas Instruments","LM2937IMP-3.3/NOPBCT-ND","","","Cut Tape (CT)","Active","1","1.82000","$1.82","25764","16 Weeks","IC REG LIN 3.3V 400MA SOT223-4","RoHS Compliant","Lead free","REACH Unaffected"
"SHT25","Sensirion AG","1649-1008-1-ND","","","Cut Tape (CT)","Active","1","13.95000","$13.95","3540","5 Weeks","SENSOR HUMI/TEMP 3V I2C 1.8% SMD","RoHS Compliant","Lead free","Not Available"
"TCA9548APWR","Texas Instruments","296-34905-1-ND","","","Cut Tape (CT)","Active","1","1.55000","$1.55","16486","8 Weeks","IC I2C SW 8CH W/RESET 24TSSOP","RoHS Compliant","Lead free","REACH Unaffected"
"PJ-036AH-SMT-TR","CUI Inc.","CP-036AHPJCT-ND","","","Cut Tape (CT)","Active","1","1.48000","$1.48","14283","10 Weeks","CONN PWR JACK 2X5.5MM SOLDER","RoHS Compliant","Lead free","Not Available"
"R-78E12-0.5","Recom Power","945-2639-5-ND","","","Tube","Active","1","2.89000","$2.89","1783","14 Weeks","DC DC CONVERTER 12V 6W","RoHS Compliant","Lead free","REACH Unaffected"
"XPGDWT-H1-0000-00GE8","Cree Inc.","XPGDWT-H1-0000-00GE8-ND","","","Bulk","Active","4","1.05000","$4.20","591","4 Weeks","LED XLAMP XPG3 WARM WHITE SMD","RoHS Compliant","Lead free","Not Available"
"XPGDWT-01-0000-00ME3","Cree Inc.","XPGDWT-01-0000-00ME3DKR-ND","","","Digi-Reel","Active","4","3.03000","$12.12","5425","8 Weeks","LED XLAMP XPG3 COOL WHITE SMD","RoHS Compliant","Lead free","Not Available"
"XPGDRY-L1-0000-00601","Cree Inc.","XPGDRY-L1-0000-00601CT-ND","","","Cut Tape (CT)","Active","4","1.62000","$6.48","1561","8 Weeks","LED XP-G3 448NM ROYAL BLUE SMD","Not Available","Not Available","Not Available"
"XPEFAR-L1-R250-00601","Cree Inc.","XPEFAR-L1-R250-00601TR-ND","","","Tape & Reel (TR)","Active","4","0.00000","$0.00","250","6 Weeks","LED XLAMP XP-E FAR RED SMD","RoHS Compliant","Lead free","Not Available"
"XPEEPR-L1-0000-00C01","Cree Inc.","XPEEPR-L1-0000-00C01CT-ND","","","Cut Tape (CT)","Active","4","1.80000","$7.20","528","Not Available","XPE HE PHOTO RED LIGHT EMITTING","RoHS Compliant","Lead free","Not Available"
"394-2AB","Wakefield-Vette","345-1176-ND","","","Bulk","Active","1","27.15000","$27.15","1221","6 Weeks","HEATSINK 5.5X1.5X5"" SSR/IGBT","RoHS Compliant","Lead free","REACH Unaffected"
"KNAC2410B","Khatod North America LLC","1621-1025-ND","","","Box","Active","1","17.45000","$17.45","0","6 Weeks","LENS CLEAR WIDE SCREW","RoHS Compliant","Lead free","Not Available"
"XPEBGR-L1-0000-00E01","Cree Inc.","XPEBGR-L1-0000-00E01CT-ND","","","Cut Tape (CT)","Active","4","1.58000","$6.32","12124","4 Weeks","XLAMP XP-E2 COLOR LEDS","RoHS Compliant","Lead free","Not Available"
"UJ2-AV-1-SMT-TR","CUI Inc.","102-4132-1-ND","","","Cut Tape (CT)","Active","1","1.15000","$1.15","2789","11 Weeks","USB JACK 2.0, STANDARD A TYPE, 4","RoHS Compliant","Lead free","Not Available"
"73725-0110BLF","Amphenol FCI","609-1041-ND","","","Tube","Active","2","1.13000","$2.26","0","8 Weeks","CONN RCPT USB TYPE A FLAG PCB","RoHS Compliant","Lead free","Not Available"
"AL8861Y-13","Diodes Incorporated","AL8861Y-13DICT-ND","","","Cut Tape (CT)","Active","6","0.65000","$3.90","46931","16 Weeks","IC LED DRVR REG PWM 1.5A SOT89-5","RoHS Compliant","Lead free","REACH Unaffected"
"SBR2A40P1-7","Diodes Incorporated","SBR2A40P1DICT-ND","","","Cut Tape (CT)","Active","6","0.49000","$2.94","515082","20 Weeks","DIODE SBR 40V 2A POWERDI123","RoHS Compliant","Contains lead","REACH Unaffected"
"SDR1307-101KL","Bourns Inc.","SDR1307-101KLCT-ND","","","Cut Tape (CT)","Active","6","0.99000","$5.94","1416","16 Weeks","FIXED IND 100UH 1.9A 180 MOHM","RoHS Compliant","Lead free","REACH Unaffected"
"GBC23DABN-M30","Sullins Connector Solutions","S2351E-23-ND","","","Bulk","Active","2","4.66000","$9.32","0","Not Available","CONN HEADER 46POS .100 DUAL SMD","RoHS Compliant","Lead free","REACH Unaffected"
"SDI90-24-U-P5R","CUI Inc.","102-4323-ND","","","Box","Active","1","43.31000","$43.31","197","16 Weeks","AC/DC DESKTOP ADAPTER 24V 90W","RoHS Compliant","Lead free","Not Available"
"RL0805FR-070R143L","Yageo","311-.143SCT-ND","","","Cut Tape (CT)","Active","6","0.55000","$3.30","5053","16 Weeks","RES 0.143 OHM 1% 1/8W 0805","RoHS Compliant","Lead free","REACH Unaffected"
"ISO1540DR","Texas Instruments","296-34871-1-ND","","","Cut Tape (CT)","Active","2","4.80000","$9.60","55937","Not Available","DGTL ISO 2.5KV 2CH I2C 8SOIC","RoHS Compliant","Lead free","REACH Unaffected"
"RM-3.33.3S","Recom Power","945-1212-ND","","","Tube","Active","2","5.83000","$11.66","337","14 Weeks","DC DC CONVERTER 3.3V 250MW","RoHS Compliant","Lead free","REACH Unaffected"
"5-1634503-1","TE Connectivity AMP Connectors","A97581-ND","","","Box","Active","3","1.73000","$5.19","4238","11 Weeks","CONN BNC JACK STR 50 OHM PCB","RoHS Compliant","Lead free","Not Available"
"R-78E5.0-1.0","Recom Power","945-2201-ND","","","Tube","Active","1","3.26000","$3.26","17033","6 Weeks","DC DC CONVERTER 5V 5W","RoHS Compliant","Lead free","REACH Unaffected"
"ASB0412VHA-AF00","Delta Electronics","603-1724-ND","","","Box","Active","3","7.75000","$23.25","648","22 Weeks","FAN AXIAL 40X10MM 12VDC WIRE","RoHS Compliant","Lead free","REACH Unaffected"
"GBC23DABN-M30","Sullins Connector Solutions","S2351E-23-ND","","","Bulk","Active","2","4.66000","$9.32","0","Not Available","CONN HEADER 46POS .100 DUAL SMD","RoHS Compliant","Lead free","REACH Unaffected"
"BFB0312HA-A116","Delta Electronics","603-1839-ND","","","Box","Active","1","11.80000","$11.80","12478","24 Weeks","FAN BLOWER 30X10MM 12VDC WIRE","RoHS Compliant","Lead free","REACH Unaffected"
"T6713","Amphenol Advanced Sensors","235-1373-ND","","","Bulk","Active","1","95.54000","$95.54","231","3 Weeks","CO2 MODULE 2000PPM DIFFUSION","RoHS Compliant","Lead free","Not Available"
"LM2937IMP-3.3/NOPB","Texas Instruments","LM2937IMP-3.3/NOPBCT-ND","","","Cut Tape (CT)","Active","1","1.82000","$1.82","25764","16 Weeks","IC REG LIN 3.3V 400MA SOT223-4","RoHS Compliant","Lead free","REACH Unaffected"
"PJ-036AH-SMT-TR","CUI Inc.","CP-036AHPJCT-ND","","","Cut Tape (CT)","Active","1","1.48000","$1.48","14283","10 Weeks","CONN PWR JACK 2X5.5MM SOLDER","RoHS Compliant","Lead free","Not Available"
"R-78E5.0-1.0","Recom Power","945-2201-ND","","","Tube","Active","1","3.26000","$3.26","17033","6 Weeks","DC DC CONVERTER 5V 5W","RoHS Compliant","Lead free","REACH Unaffected"
"64900001039","Littelfuse Inc.","WK0011-ND","","","Bulk","Active","1","0.82000","$0.82","12677","12 Weeks","FUSE BLOCK CART 250V 6.3A PCB","RoHS Compliant","Lead free","Not Available"
"54602-908LF","Amphenol FCI","609-1046-ND","","","Bulk","Active","2","0.60000","$1.20","111065","6 Weeks","CONN MOD JACK 8P8C R/A UNSHLD","RoHS Compliant","Lead free","Not Available"